 9.751 219.70  4.12 0.066
11.075 217.75  4.70 0.139
10.622 225.42  4.37 0.111
10.545 234.55  3.84 0.108
 9.283 221.28  3.22 0.052
 8.699 218.27  3.68 0.021
10.234 216.90  5.28 0.059
 9.669 218.45  1.98 0.044
10.879 203.11  2.71 0.092
 9.906 215.40  2.22 0.081
10.781 226.41  2.15 0.114
 9.882 229.92  3.38 0.052
 8.545 225.55  2.24 0.016
 9.030 224.05  3.80 0.031
10.538 227.34  2.75 0.068
10.714 216.21  3.36 0.069
10.912 232.31  2.86 0.111
 9.846 216.23  1.40 0.051
11.485 222.99  2.31 0.164
10.073 212.40  3.43 0.058
 9.368 226.44  3.10 0.047
10.953 222.76  3.03 0.083
11.368 225.73  3.25 0.145
 9.334 225.45  3.46 0.048
10.004 205.15  1.93 0.071
10.217 229.76  3.63 0.061
10.605 223.97  2.30 0.100
10.508 204.70  2.23 0.068
10.547 202.24  2.59 0.094
10.499 231.50  1.83 0.100
 8.524 228.92  0.68 0.023
10.265 214.62  3.84 0.078
11.926 215.62  3.02 0.097
 9.849 235.44  3.52 0.063
11.896 219.11  1.54 0.175
 9.717 228.91  0.84 0.053
17.842 225.67  5.75 0.384
10.483 223.47  2.13 0.099
17.786 222.59  3.76 0.440
10.040 228.90  3.41 0.049
12.136 219.35  2.23 0.160
11.921 228.28  5.03 0.143
12.177 232.39  2.45 0.188
12.556 235.63  3.22 0.170
 8.650 230.81  0.41 0.020
 9.879 214.06  1.34 0.045
 9.829 213.17  1.58 0.055
 9.664 214.08  3.89 0.055
10.774 224.43  1.82 0.098
 9.899 209.40  3.08 0.062
10.823 207.69  3.36 0.095
10.133 229.18  4.17 0.055
12.864 236.76  2.31 0.221
12.277 233.42  2.18 0.162
10.887 266.02  3.36 0.097
13.187 254.44  3.28 0.278
12.242 209.82  1.96 0.145
10.179 200.92  1.11 0.069
10.113 217.20  2.64 0.065
13.088 229.66  2.93 0.267
10.178 231.09  2.30 0.062
10.436 207.28  2.46 0.083
11.367 234.84  1.86 0.176
10.734 216.81  2.15 0.061
12.966 228.68  3.07 0.189
10.698 234.74  2.89 0.085
11.346 231.46  1.64 0.084
13.835 230.36  2.21 0.131
12.108 220.56  2.01 0.163
10.839 217.28  1.96 0.083
11.091 228.36  2.60 0.107
12.259 221.06  2.25 0.162
 9.391 226.11  2.01 0.046
 9.585 257.89  3.70 0.054
12.515 237.21  1.24 0.152
10.791 215.83  1.40 0.074
10.885 231.46  2.06 0.072
11.743 228.36  1.41 0.085
12.550 220.86  1.02 0.096
11.856 237.89  1.42 0.118
10.430 236.77  1.39 0.055
11.731 230.16  2.06 0.125
13.566 221.48  2.23 0.217
11.955 229.45  1.84 0.165
14.252 232.86  1.82 0.168
11.108 229.73  1.75 0.115
14.322 222.03  2.02 0.173
 9.408 228.67  4.29 0.048
18.293 215.98  3.24 0.451
11.298 228.69  1.73 0.097
13.051 249.26  3.69 0.187
12.815 239.13  1.02 0.150
13.237 215.84  1.76 0.177
12.480 224.19  2.17 0.114
13.309 224.85  1.49 0.107
 8.626 242.24  0.32 0.027
15.537 233.13  3.33 0.364
13.528 225.51  2.01 0.171
11.283 224.33  1.78 0.120
14.789 229.97  1.54 0.251
13.867 229.67  1.96 0.225
12.321 218.54  1.39 0.124
15.129 225.20  1.57 0.227
12.623 235.29  1.72 0.121
 9.634 216.89  1.10 0.052
 8.664 228.34  1.40 0.020
10.544 233.68  1.29 0.074
15.993 235.43  2.49 0.218
14.690 227.88  1.72 0.230
13.308 236.97  1.72 0.193
14.137 228.72  2.44 0.178
11.095 235.96  2.73 0.088
18.383 206.57  3.82 0.359
12.255 223.70  1.64 0.143
12.630 238.48  1.76 0.140
16.041 212.05  1.89 0.209
11.775 225.09  1.57 0.119
15.299 181.25  3.15 0.256
12.331 220.51  1.78 0.135
12.851 236.69  1.61 0.163
 9.118 236.87  0.60 0.036
 9.174 231.82  0.72 0.036
11.192 228.94  1.07 0.084
12.318 225.16  1.86 0.159
14.712 223.19  2.30 0.288
12.318 217.68  1.42 0.096
12.363 212.14  2.30 0.140
16.296 221.86  3.58 0.320
12.285 240.26  1.45 0.145
 8.908 231.13  0.59 0.024
11.474 218.32  1.83 0.152
12.608 245.56  2.44 0.109
12.388 227.79  1.90 0.136
13.057 235.75  2.14 0.154
12.025 227.71  2.01 0.137
14.102 225.63  3.48 0.198
11.159 221.15  1.39 0.095
10.791 199.52  1.37 0.073
11.857 227.15  2.04 0.140
13.630 216.37  2.18 0.177
13.453 211.97  2.48 0.265
10.353 213.81  3.23 0.075
13.363 237.07  2.46 0.180
10.815 213.04  1.99 0.095
13.012 239.49  2.07 0.120
14.512 226.37  2.01 0.238
12.285 228.76  1.43 0.117
10.314 216.81  1.12 0.047
 8.511 220.25  1.37 0.020
13.009 230.29  5.16 0.104
11.704 221.71  1.26 0.086
12.223 239.46  3.31 0.110
12.985 229.94  2.05 0.170
11.769 224.52  2.10 0.087
14.302 234.14  2.68 0.265
13.549 233.61  3.22 0.160
11.313 219.52  1.68 0.108
 9.034 238.34  1.98 0.052
12.113 220.09  1.84 0.129
13.728 230.17  2.97 0.260
12.546 214.06  2.22 0.157
 9.922 236.85  3.34 0.056
12.116 228.77  2.26 0.164
11.020 222.58  1.71 0.092
13.164 236.26  2.41 0.155
10.985 221.96  2.20 0.088
11.855 228.98  5.00 0.111
13.429 220.42  2.01 0.271
11.197 227.79  2.02 0.095
10.033 208.97  1.85 0.039
11.030 232.50  2.50 0.088
13.265 246.72  3.16 0.175
11.511 220.99  1.39 0.101
13.117 224.67  3.52 0.227
14.082 228.06  3.27 0.319
10.470 246.77  6.57 0.080
13.518 229.70  2.24 0.121
14.775 228.72  3.06 0.258
14.629 218.64  2.28 0.267
13.803 215.41  3.10 0.224
12.220 219.00  3.41 0.105
12.651 225.95  1.87 0.141
10.273 217.65  3.02 0.047
11.292 217.56  2.17 0.111
15.383 216.94  2.38 0.372
10.407 226.16  2.38 0.072
13.003 220.12  5.20 0.171
12.960 213.98  2.16 0.166
10.636 230.61  2.92 0.079
12.077 227.00  0.85 0.098
11.149 232.16  2.69 0.092
13.888 206.25  2.08 0.152
10.444 227.65  1.79 0.064
12.470 221.33  2.32 0.156
14.193 215.34  2.72 0.136
13.305 234.21  3.74 0.205
10.516 203.93  1.81 0.080
 9.601 241.65  1.90 0.042
11.632 206.58  1.95 0.123
 8.443 244.40  3.45 0.012
12.879 216.91  4.56 0.184
11.053 230.78  4.29 0.087
10.029 220.27  1.00 0.059
12.710 228.58  2.45 0.102
10.039 215.76  1.75 0.041
 9.914 222.23  4.47 0.059
15.050 220.35  2.69 0.286
12.872 227.06  3.75 0.180
15.181 212.57  3.48 0.290
10.025 205.80  3.10 0.043
13.203 220.09  2.61 0.216
13.543 227.17  2.97 0.201
 9.010 226.69  1.73 0.031
10.318 227.62  3.92 0.055
15.212 223.34  4.12 0.366
13.748 202.89  4.09 0.253
15.015 214.69  4.63 0.306
 9.990 240.08  6.46 0.046
